Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
1,CAPITAL,1,SECCIONAL PRIMERA,COL NAC DE MONSERRAT,OBISPO TREJO 294,Córdoba,Córdoba,Argentina,5831,"OBISPO TREJO 294, Córdoba, Córdoba, Argentina"
4,CRUZ DEL EJE,44,CRUZ DEL EJE,IPEM N° 253,ALEM ESQ DOMINGO MATEU,CRUZ DEL EJE,Córdoba,Argentina,5831,"ALEM ESQ DOMINGO MATEU, CRUZ DEL EJE, Córdoba, Argentina"
1,CAPITAL,12B,COLON,INST NTRA SRA DEL SGDO CORAZON,REVOLUCION DE MAYO 1476,Córdoba,Córdoba,Argentina,5826,"REVOLUCION DE MAYO 1476, Córdoba, Córdoba, Argentina"
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESCUELA NORMAL,SARMIENTO 1155,CRUZ DEL EJE,Córdoba,Argentina,5821,"SARMIENTO 1155, CRUZ DEL EJE, Córdoba, Argentina"
3,COLON,28,CALERA,INSTITUTO D.F.SARMIENTO,CALERA,CALERA,Córdoba,Argentina,5814,"CALERA, CALERA, Córdoba, Argentina"
9,MARCOS JUAREZ,133,MARCOS JUAREZ,ESC NORMAL SUP DR M BELGRANO,R SAENZ PEÑA Y S DEL ESTERO,MARCOS JUAREZ,Córdoba,Argentina,5796,"R SAENZ PEÑA Y S DEL ESTERO, MARCOS JUAREZ, Córdoba, Argentina"
1,CAPITAL,10B,CIUDADELA,ESC PCIA DE CATAMARCA,AV VELEZ SARSFIELD 3200 LAS FLORES,Córdoba,Córdoba,Argentina,5780,"AV VELEZ SARSFIELD 3200 LAS FLORES, Córdoba, Córdoba, Argentina"
1,CAPITAL,11J,SANTA ANA,ESC ROMA,ECHEVERRIA 370,Córdoba,Córdoba,Argentina,5780,"ECHEVERRIA 370, Córdoba, Córdoba, Argentina"
1,CAPITAL,9F,SAN MARTIN,INST INMACULADA CONCEPCION,CASTRO BARROS 1316,Córdoba,Córdoba,Argentina,5749,"CASTRO BARROS 1316, Córdoba, Córdoba, Argentina"
1,CAPITAL,2,SECCIONAL SEGUNDA,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 486,Córdoba,Córdoba,Argentina,5693,"GRAL PAZ 486, Córdoba, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,INST R ESCALADA DE SAN MARTIN,ESTRADA Y ANTARTIDA,VILLA CARLOS PAZ,Córdoba,Argentina,5504,"ESTRADA Y ANTARTIDA, VILLA CARLOS PAZ, Córdoba, Argentina"
20,SAN JUSTO,304,MORTEROS,ESCUELA CRISTO REY,BV 9 DE JULIO 1.008,MORTEROS,Córdoba,Argentina,5504,"BV 9 DE JULIO 1.008, MORTEROS, Córdoba, Argentina"
1,CAPITAL,4,NUEVA CORDOBA,FAC DE CIENCIAS ECONOMICAS,AV VALPARAISO CDAD UNIVERSITARIA,Córdoba,Córdoba,Argentina,5495,"AV VALPARAISO CDAD UNIVERSITARIA, Córdoba, Córdoba, Argentina"
